tmdb_id,imdb_id,title,original_language,release_year,overview,genres,vote_average,vote_count,poster_url
27723,tt0206226,Psycho Beach Party,en,2000.0,Chicklet is a sixteen-year old tomboy who's desperate to be part of the in-crowd of Malibu beach surfers. She's the typical American girl - except for one little problem: her personality is split into more slices than a pepperoni pizza.,"Comedy, Horror",5.7,104,https://image.tmdb.org/t/p/w500/28mzKFDyVzMVx9nhDrJQ3G2H7It.jpg
191566,tt1946310,Crazy Kind of Love,en,2013.0,"While re-evaluating her life, a mother relies on her stoner son and his awkward brother to keep life interesting. When an unlikely romance blossoms between the youngest son and the girl next door, she realizes the key to her happiness can be found where she least expects it.","Comedy, Drama, Romance",5.4,46,https://image.tmdb.org/t/p/w500/fFy97WBoUyGqlUVMh5A9YcJZsh7.jpg
257117,tt2825230,Blood Punch,en,2014.0,"Milton, a college dropout, was only supposed to cook meth for one day. Broken out of rehab by a brash young woman and her trigger-happy (""ex"") boyfriend and driven to a remote cabin the woods, Milton finds himself drawn into a dangerous love triangle gone haywire. The couple's deadpan half-truths spin around Milton like a song on repeat. They seem to read him like an open book, until a mysterious message opens his eyes to his cursed existence. With unlimited ammunition, any hunting tool they could desire, and an ever-growing body count, for what did Milton really sign up?","Horror, Thriller",6.371,136,https://image.tmdb.org/t/p/w500/qQZkm86UV5qiRPbcWQOPN6iF6HN.jpg
552017,tt9101692,Christmas Around the Corner,en,2018.0,"Claire (Alexandra Breckenridge), a savvy venture capitalist from New York City, escapes to a quaint town in Vermont for the holidays and becomes a guest of the Fortenbury Bookstore. Upon arrival, Claire finds Christmas celebrations have been canceled by the town after a flood and the bookstore is in a dire state of disrepair. She immediately takes on the challenge to revitalize the store, but clashes with the owner, Andrew (Jamie Spilchuk), who initially rejects all her proposed improvements. Eventually, sparks fly as the two begin a budding romance, and Claire’s infectious optimism inspires Andrew to join her in reviving the yuletide spirit. But everything comes to a screeching halt when Claire discovers that Andrew is planning to sell the bookstore in the New Year. Will the spirit of Christmas be enough to change Andrew’s mind and encourage him to follow his heart?","Drama, Romance, TV Movie",6.4,49,https://image.tmdb.org/t/p/w500/2KJ087yxOh31WYEgkTbMhdyvWbK.jpg
27709,tt0059678,The Satan Bug,en,1965.0,"A US government germ warfare lab has had an accident. The first theory is that one of the germs has been released and killed several scientists. The big fear is that a more virulent strain, named The Satan Bug because all life can be killed off by it should it escape, may have been stolen.","Science Fiction, Thriller, Mystery",6.1,57,https://image.tmdb.org/t/p/w500/jMqA1ooDaqQqaifI5hnU7tw9hf2.jpg
27720,tt0100161,Mister Frost,en,1990.0,"Frost is arrested and committed for murder after he is apprehended burying his victims in the garden. However, even while under psychiatric care and tight hospital security, it becomes obvious that Mr. Frost is not all he seems to be.","Horror, Thriller, Drama",6.2,45,https://image.tmdb.org/t/p/w500/9Af3kRwDrBbRVAwGzGY23oUGspd.jpg
388191,tt5456798,Mythica: The Iron Crown,en,2016.0,"When a team of unlikely heroes hijacks a steam-powered battle wagon, a daring young wizard (Marek) steals the final piece of the all-powerful Darkspore and embarks on a desperate quest to deliver the cursed artifact to the gods for safe keeping; but when they are caught in a death race between a ruthless team of elite mercenaries and a trinity of demons, Marek must learn to believe in herself before her friends are killed and the Darkspore is lost, to stop the evil necromancer (Szorlok) from uniting the Darkspore and flooding the living world with his legions of undead.","Action, Adventure, Fantasy",6.0,79,https://image.tmdb.org/t/p/w500/8y3G8g7E7SXZ74XDt6gaxyfELse.jpg
1207417,tt30061777,Mooned,en,2023.0,Villainous Vector must figure out how to get off the moon and return to Earth.,"Animation, Family, Comedy, Science Fiction",6.5,43,https://image.tmdb.org/t/p/w500/zJeGQ67XPRkr9lpUOIUYLOhPNf.jpg
27759,tt0056800,55 Days at Peking,en,1963.0,"Diplomats, soldiers and other representatives of a dozen nations fend off the siege of the International Compound in Peking during the 1900 Boxer Rebellion. The disparate interests unite for survival despite competing factions, overwhelming odds, delayed relief and tacit support of the Boxers by the Empress of China and her generals.","History, War, Drama",6.881,180,https://image.tmdb.org/t/p/w500/uR0xaqmqlbhatf9014mHuwV1Uly.jpg
978024,tt21230040,Little Ones,fr,2023.0,"Camille a 16 years old pregnant girl was placed in a maternal center by the Judge. She became friends with Alison, an immature young mother, and fought against the authority of Nadine, an educator as passionate as she was disillusioned.",Drama,6.4,28,https://image.tmdb.org/t/p/w500/1UceYcrYOFkqTaZKTKqq0cspLg6.jpg
158848,tt2306783,The Falls,en,2012.0,"RJ and Chris were both born and raised in the Mormon Church. Both have pretty girlfriends, were Eagle Scouts at a young age and have perfect academic records. Now, it’s their turn to serve a mission and experience the Mormon rite of passage. Unknown to them, serving a mission will not only open the doors to strangers’ households – where they preach the Gospel – but it will open up secrets in their own lives — and feelings that they’ve long kept buried.","Romance, Drama",5.9,56,https://image.tmdb.org/t/p/w500/2sBdnCtXIU1j7vNvM2iRGffQabR.jpg
978035,tt26255476,Les Indésirables,fr,2023.0,A local activist and a budding young mayor clash over the best path forward for their impoverished suburb.,Drama,6.2,86,https://image.tmdb.org/t/p/w500/sSTsxkSlOa9IoPCN7jh81PJQweW.jpg
846977,tt16306342,Les Têtes givrées,fr,2023.0,"Alain, a former mountain guide, decides to change his life and become a teacher. He finds himself faced with colorful ninth graders who are not interested in anything. Seeking to motivate them and bring them together, Alain decides to organize an outing... in the bowels of a glacier. The students discover a breathtakingly beautiful world of ice. The idea that this glacier could disappear is unbearable for them. Trained by Alain, the students throw themselves body and soul into a crazy project: to prevent the glacier from melting and nothing can stop them!","Comedy, Drama",5.939,49,https://image.tmdb.org/t/p/w500/qQzhvlbxGh2rAdo9qbnKn8t89el.jpg
